Name,Class,Role,Tier,Score,Trend,Win %,Role %,Pick %,Ban %,KDA
Aatrox,Fighter,TOP,A,58.25,6.52,49.97%,94.62%,4.43%,2.03%,1.97
Ahri,Mage,MID,A,53.21,-0.24,49.93%,93.47%,4.62%,1.04%,2.56
Akali,Assassin,MID,S,65.3,6.51,48.59%,65.65%,8.16%,12.88%,2.34
Akali,Assassin,TOP,A,57.87,3.34,48.57%,34.06%,4.24%,12.88%,2.04
Akshan,Marksman,MID,S,59.85,0.65,51.46%,58.01%,4.83%,21.91%,2.23
Akshan,Marksman,TOP,A,55.89,-0.46,51.58%,33.45%,2.71%,21.91%,1.97
Alistar,Tank,SUPPORT,B,46.08,-2.74,49.92%,98.55%,3.65%,0.84%,2.51
Amumu,Tank,JUNGLE,B,45.69,1.72,50.27%,83.11%,3.13%,1.51%,2.62
Amumu,Tank,SUPPORT,C,35.88,2.55,50.09%,14.95%,0.44%,1.64%,2.05
Anivia,Mage,MID,A,53.38,-1.26,51.97%,82.16%,3.32%,3.03%,2.66
Anivia,Mage,SUPPORT,D,31.74,-1.46,47.66%,12.51%,0.44%,3.03%,2.18
Annie,Mage,MID,A,48.81,6.23,52.45%,85.00%,2.17%,0.71%,2.39
Aphelios,Marksman,ADC,C,35.96,-1.67,47.36%,98.34%,5.79%,1.46%,2.03
Ashe,Marksman,ADC,B,43.08,-9.95,49.66%,93.40%,6.03%,1.11%,2.32
Aurelion Sol,Mage,MID,B,42.15,-2.74,50.81%,91.23%,0.89%,0.25%,2.55
Azir,Mage,MID,D,32.69,2.09,46.67%,90.68%,1.12%,0.21%,2.1
Bard,Support,SUPPORT,A,49.81,2.27,50.23%,98.67%,4.05%,1.00%,2.97
Blitzcrank,Tank,SUPPORT,S,67.8,-0.81,51.87%,99.49%,8.61%,18.23%,2.44
Brand,Mage,SUPPORT,B,45.21,-4.17,49.18%,79.04%,4.68%,5.87%,1.77
Brand,Mage,MID,B,41.21,1.44,51.68%,12.83%,0.82%,6.43%,2.04
Braum,Support,SUPPORT,A,46.74,2.77,50.73%,99.40%,2.87%,0.39%,2.79
Caitlyn,Marksman,ADC,God,88.48,-0.16,50.09%,98.70%,21.30%,18.96%,2.31
Camille,Fighter,TOP,God,84.61,9.6,50.20%,96.80%,7.17%,7.54%,1.99
Cassiopeia,Mage,MID,B,44.08,-2,50.30%,71.90%,2.43%,1.36%,2.09
Cassiopeia,Mage,TOP,D,26.2,-7.91,49.47%,17.98%,0.68%,1.36%,1.83
Cho'Gath,Tank,TOP,A,52.76,2.64,52.82%,72.56%,2.59%,0.95%,2.2
Cho'Gath,Tank,MID,C,37.75,-4.65,49.57%,17.42%,0.55%,0.95%,2.37
Corki,Marksman,MID,A,58.2,0.29,49.38%,92.76%,6.79%,3.91%,2.17
Darius,Fighter,TOP,God,83.96,16.49,50.37%,95.85%,6.58%,15.17%,1.87
Diana,Fighter,JUNGLE,God,82.96,44.71,51.46%,83.98%,12.19%,12.81%,2.49
Diana,Fighter,MID,A,49.05,4.03,52.62%,15.14%,2.17%,12.81%,2.2
Dr. Mundo,Marksman,TOP,S,62.73,-2.08,51.76%,91.81%,4.06%,2.97%,2.26
Draven,Fighter,ADC,B,46.38,-4.53,50.52%,95.90%,6.30%,12.39%,2.16
Ekko,Assassin,JUNGLE,A,55.93,-1.56,49.91%,64.39%,6.16%,4.09%,2.74
Ekko,Assassin,MID,A,46.78,0.91,49.67%,33.37%,3.26%,4.09%,2.24
Elise,Mage,JUNGLE,B,40.59,-3.1,49.48%,94.98%,2.22%,1.66%,2.56
Evelynn,Assassin,JUNGLE,A,48.04,-1.54,49.64%,98.86%,3.46%,8.85%,2.94
Ezreal,Marksman,ADC,God,75.98,1.83,49.28%,97.47%,20.07%,5.20%,2.39
Fiddlesticks,Mage,JUNGLE,B,46.01,-1.29,50.54%,92.05%,2.91%,2.86%,2.68
Fiora,Fighter,TOP,S,75.08,4.32,50.05%,97.65%,6.08%,10.76%,1.76
Fizz,Assassin,MID,A,52.25,1.44,50.83%,96.26%,3.83%,4.53%,2.46
Galio,Tank,MID,A,46.86,0.84,50.38%,63.28%,2.28%,0.54%,2.71
Galio,Tank,SUPPORT,C,36.89,-1.3,48.87%,33.91%,1.22%,0.54%,2.35
Gangplank,Fighter,TOP,S,65.59,14.31,47.66%,87.34%,5.92%,4.44%,1.99
Gangplank,Fighter,MID,C,36.57,3.4,48.67%,12.95%,0.90%,4.41%,2.23
Garen,Fighter,TOP,S,73.99,15.67,51.55%,87.46%,5.74%,2.13%,2.1
Gnar,Fighter,TOP,A,47.1,4.58,49.86%,97.87%,3.05%,0.60%,2.01
Gragas,Fighter,TOP,C,37.47,-2.35,48.75%,39.67%,1.96%,0.32%,2.24
Gragas,Fighter,JUNGLE,C,36.1,-7.55,48.00%,40.60%,1.64%,0.32%,2.7
Gragas,Fighter,SUPPORT,D,32.15,-2.55,47.64%,11.54%,0.49%,0.32%,2.25
Graves,Marksman,JUNGLE,S,59.84,-9.95,49.28%,67.07%,7.51%,9.44%,2.58
Graves,Marksman,TOP,B,42.78,-7.19,49.10%,25.53%,2.75%,9.44%,1.72
Gwen,Fighter,TOP,A,54.66,13.03,49.82%,82.83%,4.23%,2.43%,1.73
Gwen,Fighter,JUNGLE,C,38.68,5.74,51.35%,13.40%,0.70%,2.43%,2.36
Hecarim,Fighter,JUNGLE,S,71.27,12.91,51.18%,99.23%,8.94%,8.04%,3.02
Heimerdinger,Mage,MID,C,35.89,-1.34,49.28%,35.85%,0.80%,0.81%,1.96
Heimerdinger,Mage,ADC,C,34.01,-1.93,51.76%,15.56%,0.29%,0.81%,2.23
Heimerdinger,Mage,SUPPORT,C,33.85,-1.74,49.85%,10.09%,0.20%,0.92%,1.83
Heimerdinger,Mage,TOP,D,24.16,-8.38,48.87%,38.86%,0.80%,0.81%,1.65
Illaoi,Fighter,TOP,C,34.11,-3.45,49.16%,92.36%,2.07%,2.53%,1.49
Irelia,Fighter,TOP,God,81.35,-5.02,49.10%,60.00%,6.24%,23.51%,1.58
Irelia,Fighter,MID,A,48.07,-1.08,48.24%,39.17%,4.10%,23.51%,1.75
Ivern,Support,JUNGLE,C,38.83,1.46,48.09%,85.02%,1.21%,0.34%,3.41
Janna,Support,SUPPORT,A,51.92,-3.82,50.56%,95.20%,4.60%,0.57%,3
Jarvan IV,Tank,JUNGLE,A,54.92,4.21,51.04%,93.41%,4.22%,0.54%,3.37
Jax,Fighter,TOP,God,82.16,3.63,50.68%,85.79%,6.84%,10.98%,1.63
Jax,Fighter,JUNGLE,C,34.7,-5.49,49.40%,13.26%,1.11%,10.39%,2.13
Jayce,Fighter,TOP,S,73.56,-5.02,49.44%,74.77%,6.54%,4.13%,1.78
Jayce,Fighter,MID,B,39.29,-2.3,48.62%,24.13%,1.97%,4.13%,2.05
Jhin,Marksman,ADC,God,94.23,3.23,51.03%,99.02%,24.55%,5.81%,3.01
Jinx,Marksman,ADC,God,86.76,-1.22,51.32%,99.51%,22.27%,6.98%,2.43
Kai'Sa,Marksman,ADC,God,75.52,10.5,49.48%,97.77%,19.45%,5.95%,2.42
Kalista,Marksman,ADC,D,31.51,-0.06,49.03%,91.41%,1.53%,0.27%,2.3
Karma,Mage,SUPPORT,S,63.43,6.96,48.91%,92.05%,10.22%,2.96%,2.73
Karthus,Mage,ADC,B,42.26,-1.65,54.98%,21.05%,0.95%,3.30%,2.23
Karthus,Mage,MID,B,42.13,3.77,52.58%,11.76%,0.41%,3.30%,2.19
Karthus,Mage,JUNGLE,B,39.58,0.6,49.39%,57.80%,2.09%,3.30%,2.45
Kassadin,Assassin,MID,A,58.16,-7.74,51.42%,97.04%,4.54%,14.43%,2.49
Katarina,Assassin,MID,S,61.99,-0.88,49.59%,94.72%,7.12%,9.89%,2.29
Kayle,Fighter,TOP,A,48.25,-5.26,50.71%,72.51%,3.11%,1.19%,1.8
Kayle,Fighter,MID,B,40.73,-8.21,50.63%,25.67%,0.97%,1.19%,2.28
Kayn,Fighter,JUNGLE,S,69.12,1.38,49.95%,97.80%,9.70%,12.18%,2.41
Kennen,Mage,MID,B,40.4,-1.04,51.35%,15.00%,0.34%,0.67%,2.37
Kennen,Mage,TOP,C,35.49,0.47,48.62%,83.50%,2.00%,0.70%,1.98
Kha'Zix,Assassin,JUNGLE,S,60.25,-2.33,50.17%,98.88%,7.47%,7.01%,2.47
Kindred,Marksman,JUNGLE,B,46.69,-1.77,50.47%,91.82%,3.87%,2.49%,2.26
Kled,Fighter,MID,A,48.84,0,55.14%,10.23%,0.19%,0.83%,2.7
Kled,Fighter,TOP,B,40.27,-4.86,50.36%,88.47%,1.69%,0.78%,2.32
Kog'Maw,Marksman,ADC,B,39.8,-2.8,52.79%,89.17%,1.98%,0.44%,2.21
LeBlanc,Assassin,MID,A,59.14,-1.18,48.85%,94.88%,5.79%,11.95%,2.82
Lee Sin,Fighter,JUNGLE,God,91.89,0.28,48.45%,96.61%,15.29%,16.26%,2.82
Leona,Tank,SUPPORT,S,65.44,-0.99,49.61%,99.42%,9.88%,13.97%,2.34
Lillia,Fighter,JUNGLE,B,42.51,-1.69,49.35%,85.39%,2.74%,0.95%,2.66
Lillia,Fighter,TOP,D,24.34,-9.25,49.20%,11.49%,0.40%,1.01%,1.96
Lissandra,Mage,MID,A,47.29,1.22,50.65%,91.16%,2.72%,0.66%,2.41
Lucian,Marksman,ADC,A,48.48,-7.7,49.26%,86.34%,8.84%,3.12%,2.25
Lulu,Support,SUPPORT,God,93.56,0.75,50.84%,97.72%,14.30%,25.68%,3.12
Lux,Mage,SUPPORT,God,82.29,-6.67,50.26%,68.48%,14.64%,12.26%,2.53
Lux,Mage,MID,S,66.92,-0.9,51.08%,29.30%,6.48%,12.26%,2.97
Malphite,Tank,TOP,S,67.63,5.41,51.19%,75.04%,4.68%,4.01%,2.41
Malphite,Tank,MID,B,40.23,-3.72,50.49%,11.99%,0.71%,4.01%,2.4
Malphite,Tank,SUPPORT,D,29.17,-1.81,46.13%,11.03%,0.78%,4.12%,2.05
Malzahar,Mage,MID,A,49.57,5.18,50.92%,91.35%,3.43%,3.03%,2.22
Maokai,Tank,SUPPORT,B,39.51,-0.65,50.16%,80.13%,1.46%,0.16%,2.23
Maokai,Tank,TOP,D,24.65,-6.31,49.13%,17.24%,0.32%,0.17%,2.1
Master Yi,Assassin,JUNGLE,S,64.59,-3.49,49.74%,93.04%,7.64%,18.96%,2.02
Miss Fortune,Marksman,ADC,A,50.67,-1.8,50.10%,95.35%,8.87%,2.12%,2.3
Mordekaiser,Fighter,TOP,S,65.95,14.48,49.82%,87.43%,5.31%,5.99%,1.79
Morgana,Mage,SUPPORT,S,71.03,-1.92,49.76%,92.49%,9.13%,26.95%,2.51
Nami,Support,SUPPORT,S,73.29,-2.3,51.52%,99.76%,11.30%,2.60%,3.24
Nasus,Fighter,TOP,S,64.96,7.18,51.83%,85.10%,4.49%,4.36%,1.98
Nautilus,Tank,SUPPORT,S,60.25,2.25,49.81%,98.25%,8.69%,7.77%,2.32
Neeko,Mage,MID,C,37.75,0.46,48.66%,62.30%,1.30%,0.28%,2.22
Neeko,Mage,SUPPORT,D,31.53,2.13,47.99%,23.38%,0.50%,0.30%,1.95
Nidalee,Assassin,JUNGLE,A,49.1,-0.37,48.98%,92.41%,4.41%,2.64%,2.95
Nocturne,Assassin,JUNGLE,B,39.71,-6.54,48.05%,86.82%,3.12%,3.24%,2.39
Nunu,Tank,JUNGLE,A,55.47,0.61,51.79%,89.52%,4.35%,2.38%,3.04
Olaf,Fighter,JUNGLE,C,36.61,5.55,49.07%,84.79%,1.48%,0.85%,2.45
Olaf,Fighter,TOP,D,11.03,-6.16,45.46%,15.64%,0.27%,0.92%,1.63
Orianna,Mage,MID,A,47.05,1.97,49.56%,95.43%,2.89%,0.18%,2.66
Ornn,Tank,TOP,A,59.57,4.58,50.83%,94.19%,4.04%,0.43%,2.3
Pantheon,Fighter,MID,B,41.54,-2.49,50.80%,27.31%,1.16%,0.89%,2.25
Pantheon,Fighter,SUPPORT,D,32.78,-2.48,47.00%,39.76%,1.78%,0.89%,1.89
Pantheon,Fighter,TOP,D,30.79,-10.85,49.68%,26.73%,0.93%,0.89%,2.1
Poppy,Tank,JUNGLE,B,41.6,-2.14,49.59%,47.97%,2.30%,2.30%,2.65
Poppy,Tank,TOP,B,39.88,-5.73,49.78%,43.37%,1.98%,2.30%,2.14
Pyke,Support,SUPPORT,S,59.89,-0.91,49.35%,88.30%,8.57%,12.77%,2.17
Qiyana,Assassin,MID,A,56.52,2.17,51.04%,58.68%,4.73%,13.69%,2.14
Qiyana,Assassin,JUNGLE,B,42.89,-0.24,48.92%,37.84%,2.94%,13.69%,2.42
Quinn,Marksman,TOP,C,36.42,-5.78,51.71%,83.36%,1.19%,0.51%,1.89
Rakan,Support,SUPPORT,A,54.12,-1.22,50.52%,98.47%,5.55%,0.41%,2.94
Rammus,Tank,JUNGLE,A,48.15,0.36,51.71%,93.45%,2.41%,3.14%,2.9
Rek'Sai,Fighter,JUNGLE,A,49.57,-0.79,51.40%,96.79%,3.69%,2.52%,2.51
Rell,Tank,SUPPORT,B,42.96,0.27,50.61%,99.47%,2.13%,0.49%,2.42
Renekton,Fighter,TOP,A,50.6,6.84,48.17%,86.48%,4.10%,2.05%,1.91
Renekton,Fighter,MID,B,41.32,3.85,51.78%,12.93%,0.63%,2.05%,2.19
Rengar,Assassin,JUNGLE,B,39.34,3.97,48.44%,77.99%,2.97%,2.68%,2.28
Rengar,Assassin,TOP,D,22.41,-8.95,47.43%,20.91%,0.91%,2.31%,1.77
Riven,Fighter,TOP,S,65.68,6.18,51.30%,91.86%,4.88%,2.30%,1.99
Rumble,Fighter,MID,B,45.65,1.36,52.28%,37.76%,0.95%,0.26%,2.64
Rumble,Fighter,JUNGLE,C,36.12,1.29,49.65%,13.54%,0.31%,0.26%,2.82
Rumble,Fighter,TOP,D,25.32,-2.02,47.57%,46.60%,1.01%,0.26%,2.02
Ryze,Mage,MID,C,35.12,-1.72,45.97%,82.39%,2.15%,0.20%,2.15
Ryze,Mage,TOP,D,14.3,-7.36,45.91%,16.26%,0.43%,0.20%,1.74
Samira,Marksman,ADC,B,44.4,-3.44,48.52%,98.10%,7.22%,11.15%,2.19
Sejuani,Tank,JUNGLE,B,40.92,-8.34,48.26%,82.05%,2.29%,0.31%,3.09
Sejuani,Tank,TOP,D,30.67,-2.66,50.50%,13.18%,0.32%,0.34%,2.43
Senna,Marksman,SUPPORT,B,46.43,-2.7,48.20%,85.15%,4.94%,1.52%,2.54
Senna,Marksman,ADC,C,36.3,-2.53,50.62%,13.18%,0.70%,1.52%,2.82
Seraphine,Mage,ADC,B,45.21,5.14,54.15%,16.88%,0.71%,1.03%,3.07
Seraphine,Mage,MID,B,42.18,-1.79,50.09%,15.62%,0.76%,1.03%,2.9
Seraphine,Mage,SUPPORT,B,39.72,-1.97,46.66%,67.22%,3.69%,1.03%,2.47
Sett,Fighter,TOP,God,90.23,15.56,49.60%,83.89%,8.23%,7.37%,1.76
Shaco,Assassin,JUNGLE,S,62.92,3.87,51.66%,82.67%,5.98%,17.16%,2.75
Shaco,Assassin,SUPPORT,B,43.5,3.21,52.04%,14.17%,1.03%,17.16%,2.44
Shen,Tank,TOP,God,88.45,20.45,52.74%,87.85%,6.34%,2.06%,2.98
Shyvana,Fighter,JUNGLE,C,35.87,-5.1,48.72%,82.59%,1.49%,0.25%,2.45
Shyvana,Fighter,TOP,D,23.83,-11.61,49.83%,12.59%,0.21%,0.26%,1.88
Singed,Tank,TOP,B,39.17,-0.57,50.95%,77.10%,1.65%,0.42%,2.04
Sion,Tank,TOP,A,52.81,4.16,51.27%,84.01%,3.70%,0.70%,1.63
Sivir,Marksman,ADC,B,39.74,1.71,51.04%,97.68%,2.69%,0.46%,2.53
Skarner,Fighter,JUNGLE,C,33.16,-7.62,47.83%,76.00%,0.74%,0.16%,2.76
Skarner,Fighter,TOP,D,23.89,-6.83,48.90%,22.21%,0.18%,0.16%,2.22
Sona,Support,SUPPORT,A,57.27,-2.71,52.85%,97.98%,4.94%,1.00%,2.98
Soraka,Support,SUPPORT,S,62.15,-1.48,52.28%,96.57%,7.25%,4.08%,2.79
Swain,Mage,MID,B,44.02,4.28,52.30%,11.30%,0.40%,1.76%,2.67
Swain,Mage,ADC,B,41.33,2.36,53.12%,21.43%,0.55%,1.76%,2.85
Swain,Mage,SUPPORT,B,40.06,-1.79,48.89%,62.01%,2.54%,1.61%,2.24
Sylas,Mage,MID,A,58.98,0.78,49.56%,75.03%,6.95%,4.24%,2.14
Sylas,Mage,TOP,C,33.03,-5.81,47.86%,21.17%,1.98%,4.24%,1.86
Syndra,Mage,MID,A,49.27,2.47,49.35%,89.61%,4.24%,1.16%,2.26
Tahm Kench,Support,TOP,God,91.8,21.07,51.28%,92.57%,6.48%,16.24%,2.6
Taliyah,Mage,SUPPORT,B,42.4,2.15,53.60%,15.08%,0.26%,0.18%,2.1
Taliyah,Mage,MID,C,38.86,0,50.43%,16.58%,0.25%,0.19%,2.47
Taliyah,Mage,JUNGLE,C,36.79,-5.52,49.22%,64.73%,1.18%,0.19%,2.61
Talon,Assassin,JUNGLE,S,61.2,-11.56,49.65%,73.79%,6.45%,21.59%,2.41
Talon,Assassin,MID,B,43.48,1.37,49.27%,25.14%,2.14%,21.59%,2.17
Taric,Support,SUPPORT,B,42.25,5.02,50.53%,89.39%,1.29%,0.16%,2.82
Teemo,Marksman,TOP,S,62.74,-5.25,49.11%,84.36%,4.91%,9.60%,1.71
Thresh,Support,SUPPORT,S,69.49,-2.82,48.88%,99.40%,12.27%,6.42%,2.57
Tristana,Marksman,ADC,B,40.29,-0.82,49.20%,87.49%,5.35%,2.39%,2.24
Tristana,Marksman,MID,C,35.1,0,49.32%,10.20%,0.48%,2.39%,2
Trundle,Fighter,JUNGLE,A,55.13,1.44,52.85%,62.99%,3.86%,2.60%,2.84
Trundle,Fighter,TOP,B,44.04,3.38,52.78%,31.17%,1.84%,2.60%,1.83
Tryndamere,Fighter,TOP,God,76.6,11.36,51.00%,82.71%,5.76%,12.72%,1.89
Tryndamere,Fighter,MID,C,38.31,-6.63,49.93%,12.91%,0.82%,12.72%,2.09
Twisted Fate,Mage,MID,A,49.57,-0.72,48.96%,94.59%,4.41%,1.32%,2.34
Twitch,Marksman,ADC,A,50.77,1.31,52.14%,81.44%,6.69%,4.21%,2.42
Udyr,Fighter,JUNGLE,C,36.98,-5.24,48.61%,95.02%,1.73%,0.61%,2.55
Urgot,Fighter,TOP,S,63.91,13.1,53.01%,96.14%,4.10%,2.01%,2
Varus,Marksman,ADC,D,31.43,-1.14,48.09%,92.08%,2.36%,0.19%,2.3
Vayne,Marksman,ADC,S,72.55,-10.08,51.99%,85.85%,13.60%,22.28%,2.19
Vayne,Marksman,TOP,B,41.86,-10.49,51.27%,12.63%,1.86%,22.28%,1.53
Veigar,Mage,MID,A,46.97,-4.8,48.94%,71.45%,3.79%,1.26%,2.26
Veigar,Mage,ADC,C,36.29,-0.33,51.96%,14.47%,0.64%,1.36%,2.4
Veigar,Mage,SUPPORT,D,31.56,0.56,47.50%,12.84%,0.73%,1.36%,2.02
Vel'Koz,Mage,MID,B,45.01,-1.07,51.46%,41.65%,1.19%,0.52%,2.67
Vel'Koz,Mage,SUPPORT,B,39.16,-1.85,49.44%,56.29%,1.96%,0.55%,2.17
Vex,Mage,MID,God,76.85,10.71,50.76%,84.52%,9.15%,19.25%,2.48
Vex,Mage,SUPPORT,D,30.31,-6.68,45.55%,13.19%,1.44%,19.25%,1.99
Vi,Fighter,JUNGLE,A,58.46,-3.59,52.20%,94.44%,5.89%,3.12%,2.45
Viego,Assassin,JUNGLE,God,82.48,0.59,49.74%,94.84%,13.03%,14.22%,2.46
Viktor,Mage,MID,God,81.46,-0.14,51.10%,84.98%,10.55%,16.00%,2.35
Viktor,Mage,TOP,C,37.59,-11.51,49.80%,13.16%,1.65%,16.00%,1.88
Vladimir,Mage,MID,A,55.71,5.34,51.58%,74.42%,4.37%,5.72%,2.45
Vladimir,Mage,TOP,C,32.87,-6.05,49.12%,23.57%,1.37%,5.72%,2.03
Volibear,Fighter,JUNGLE,B,39.63,1.84,49.23%,41.70%,2.19%,1.48%,2.5
Volibear,Fighter,TOP,D,32.21,-8.58,46.11%,56.03%,2.58%,1.48%,1.79
Warwick,Fighter,JUNGLE,A,52.78,-3.57,49.76%,73.58%,5.84%,5.60%,2.25
Warwick,Fighter,TOP,D,31.35,-7.37,49.36%,24.85%,1.20%,5.60%,1.94
Wukong,Fighter,TOP,B,43.24,-1.75,50.56%,78.66%,2.22%,0.61%,2.12
Wukong,Fighter,JUNGLE,C,32.92,-4.87,48.80%,14.19%,0.38%,0.62%,2.54
Xayah,Marksman,ADC,B,40.54,1.61,50.67%,98.76%,3.87%,0.53%,2.37
Xerath,Mage,MID,A,53.25,5.16,51.01%,38.11%,2.97%,5.53%,3.17
Xerath,Mage,SUPPORT,A,49.68,-5.49,49.84%,56.29%,4.76%,5.53%,2.54
Xin Zhao,Fighter,JUNGLE,A,57.04,1.14,50.23%,96.20%,6.76%,4.18%,2.44
Yasuo,Fighter,MID,God,86.16,-0.04,49.56%,71.44%,11.77%,24.41%,1.74
Yasuo,Fighter,TOP,B,39.96,-14.89,47.77%,16.35%,2.53%,24.41%,1.45
Yasuo,Fighter,ADC,C,34.41,-3.91,50.52%,11.70%,1.82%,24.41%,1.95
Yone,Assassin,MID,S,74.16,-7.47,48.42%,60.52%,9.35%,27.32%,1.84
Yone,Assassin,TOP,S,71.87,-20.17,47.59%,37.77%,5.42%,27.32%,1.58
Yorick,Fighter,TOP,B,46.07,-0.42,51.30%,96.77%,2.74%,2.26%,1.65
Yuumi,Support,SUPPORT,God,79.72,-2.67,47.77%,99.12%,10.75%,28.68%,4.11
Zac,Tank,JUNGLE,A,57.82,-0.01,51.43%,84.90%,4.39%,2.11%,3.61
Zed,Assassin,MID,God,90.5,-0.27,50.87%,67.21%,8.84%,41.88%,2.31
Zed,Assassin,JUNGLE,A,49.18,-5.06,48.63%,29.94%,3.34%,41.88%,2.47
Ziggs,Mage,ADC,B,43.63,-0.16,53.51%,68.66%,2.20%,0.60%,2.51
Ziggs,Mage,MID,C,36.44,-0.6,48.37%,24.85%,0.86%,0.60%,2.36
Zilean,Support,MID,A,52.2,1.35,54.19%,14.12%,0.56%,1.40%,3.46
Zilean,Support,SUPPORT,A,49.44,1.68,50.83%,81.95%,3.38%,1.40%,3.03
Zoe,Mage,MID,A,49.77,4.62,49.84%,94.18%,3.62%,1.41%,2.58
Zyra,Mage,SUPPORT,A,49.55,1.74,52.18%,92.46%,3.85%,1.96%,2.13
Aatrox,Fighter,TOP,S,66.17,-11,48.23%,91.94%,6.36%,5.83%,1.88
Ahri,Mage,MID,God,79.46,-0.88,50.70%,95.49%,10.48%,10.29%,2.72
Akali,Assassin,MID,A,56.04,-6.6,47.42%,65.77%,6.03%,13.84%,2.32
Akali,Assassin,TOP,B,44.73,-4.9,47.12%,33.33%,2.93%,13.84%,2.08
Akshan,Marksman,MID,A,47.55,-4.99,49.50%,62.98%,3.11%,8.64%,2.23
Akshan,Marksman,TOP,B,43.63,-1.19,51.55%,29.09%,1.49%,8.64%,2.03
Alistar,Tank,SUPPORT,B,42.34,-5.45,47.39%,96.61%,3.61%,0.93%,2.36
Amumu,Tank,JUNGLE,B,39.49,0.7,48.93%,85.98%,2.54%,1.10%,2.51
Amumu,Tank,SUPPORT,C,35.21,2.14,48.65%,10.34%,0.29%,1.17%,1.92
Anivia,Mage,MID,A,56.22,5.68,51.80%,84.64%,3.79%,4.21%,2.74
Anivia,Mage,SUPPORT,C,34.61,2.74,47.40%,10.84%,0.41%,4.09%,2.27
Annie,Mage,MID,B,43.26,-0.26,49.82%,83.86%,1.73%,0.65%,2.36
Annie,Mage,SUPPORT,C,37.49,10.56,49.45%,10.13%,0.20%,0.65%,2.19
Aphelios,Marksman,ADC,D,30.76,-5.09,45.96%,96.96%,5.67%,0.90%,1.96
Ashe,Marksman,ADC,A,53.6,7.09,51.85%,75.52%,7.15%,1.09%,2.46
Ashe,Marksman,SUPPORT,C,38.59,-0.6,47.36%,20.85%,1.94%,1.09%,2.4
Aurelion Sol,Mage,MID,B,41.85,2.32,49.61%,87.62%,1.24%,0.41%,2.49
Azir,Mage,MID,B,43.3,5.62,48.34%,86.67%,2.68%,0.54%,2.3
Bard,Support,SUPPORT,A,51.39,2.57,50.81%,97.04%,3.66%,0.50%,3.07
Blitzcrank,Tank,SUPPORT,A,58,-5.13,50.82%,98.14%,6.42%,15.65%,2.44
Brand,Mage,SUPPORT,A,48.33,4.04,51.17%,67.10%,3.78%,5.14%,1.93
Brand,Mage,MID,A,47.54,7.05,53.43%,20.78%,1.11%,5.58%,2.18
Braum,Support,SUPPORT,A,47.79,4.02,50.74%,98.59%,2.46%,0.33%,2.9
Caitlyn,Marksman,ADC,B,45.09,-3.74,46.65%,96.40%,8.47%,5.85%,2.18
Camille,Fighter,TOP,S,63.83,3.45,47.97%,94.89%,6.20%,3.80%,1.9
Cassiopeia,Mage,MID,B,45.8,1.57,50.18%,74.80%,2.52%,1.72%,2.17
Cassiopeia,Mage,TOP,D,33.14,5.06,50.42%,15.96%,0.50%,1.66%,1.88
Cho'Gath,Tank,TOP,B,43.26,-8.74,49.14%,67.17%,2.45%,0.86%,2.03
Cho'Gath,Tank,MID,B,40.1,-5.43,50.29%,18.89%,0.62%,0.92%,2.28
Corki,Marksman,MID,B,42.25,5.54,49.03%,90.05%,1.92%,0.46%,2.34
Darius,Fighter,TOP,God,92.94,7.34,51.37%,93.11%,8.20%,17.63%,1.9
Diana,Fighter,JUNGLE,S,66.69,-8.3,50.82%,83.33%,8.00%,8.76%,2.5
Diana,Fighter,MID,B,45.4,0.42,51.79%,15.06%,1.43%,8.76%,2.13
Dr. Mundo,Marksman,TOP,A,50.26,3.72,51.80%,85.13%,2.31%,1.36%,2.3
Draven,Fighter,ADC,B,40.93,-0.94,49.80%,94.66%,5.11%,9.61%,2.11
Ekko,Assassin,JUNGLE,A,54.85,0.2,51.81%,65.95%,4.51%,3.13%,2.83
Ekko,Assassin,MID,B,43.2,-2.81,49.05%,31.92%,2.20%,3.16%,2.29
Elise,Mage,JUNGLE,D,29.66,-4.24,46.42%,92.44%,1.32%,0.77%,2.51
Evelynn,Assassin,JUNGLE,C,36.93,-3.9,46.08%,98.54%,2.78%,5.01%,2.86
Ezreal,Marksman,ADC,God,90.21,0.99,48.79%,95.83%,19.40%,5.62%,2.48
Fiddlesticks,Mage,JUNGLE,B,45.29,-2.62,50.96%,89.64%,2.86%,1.93%,2.59
Fiora,Fighter,TOP,God,87.89,13.04,52.84%,97.07%,7.02%,17.62%,1.81
Fizz,Assassin,MID,A,51.02,-3.61,50.53%,94.32%,3.28%,5.18%,2.5
Galio,Tank,MID,A,48.58,1.47,50.72%,77.97%,2.40%,0.42%,2.65
Galio,Tank,SUPPORT,C,36.78,2.73,48.33%,19.50%,0.56%,0.42%,2.32
Gangplank,Fighter,TOP,God,88.86,-0.08,48.77%,81.00%,8.54%,14.40%,2.08
Gangplank,Fighter,MID,B,40.67,2.11,47.57%,19.21%,2.01%,14.30%,2.3
Garen,Fighter,TOP,S,69.9,-3.56,50.86%,85.89%,5.99%,3.10%,2.05
Gnar,Fighter,TOP,A,47.9,1.95,49.34%,96.40%,3.18%,0.64%,2
Gragas,Fighter,MID,B,41.37,2.41,50.87%,13.23%,0.34%,0.23%,2.51
Gragas,Fighter,TOP,C,34.12,-2.65,47.97%,50.77%,1.38%,0.25%,2.05
Gragas,Fighter,SUPPORT,D,31.02,1.38,45.65%,15.35%,0.38%,0.23%,2.18
